13590 11 18 14 0
13591 12 14 11 19
13592 21 21 11 19
13593 20 20 11 19
13594 8 18 11 19
13595 7 18 11 19
13596 2 4 11 19
13597 13 2 11 19
13598 8 16 11 19
13599 8 9 11 19
13600 1 22 11 19
13601 8 16 11 19
13602 22 21 11 19
13603 23 23 11 19
13604 10 23 11 19
13605 23 16 11 19
13606 20 22 11 19
13607 25 20 11 19
13608 16 12 16 2
13609 16 7 9 20
13610 16 25 23 9
13611 11 16 0 0
13612 16 1 10 0
13613 16 1 13 15
13614 20 15 2 16
13615 19 8 14 18
13616 19 14 9 25
13617 19 8 24 15
13618 19 15 9 14
13619 19 15 9 14
13620 19 23 20 3
13621 19 18 21 3
13622 19 25 10 3
13623 19 13 15 2
13624 19 8 25 14
13625 10 11 19 0
13626 10 16 10 0
13627 13 6 10 0
13628 17 7 10 0
13629 25 23 18 0
13630 19 21 0 0
13631 13 22 12 0
13632 12 23 19 21
13633 11 9 19 12
13634 13 15 9 14
13635 13 13 20 0
13636 13 13 22 9
13637 13 23 12 0
13638 13 10 18 0
13639 13 25 20 0
13640 13 25 8 22
13641 13 15 13 18
13642 13 9 10 2
13643 13 3 0 0
13644 13 1 13 9
13645 13 15 7 0
13646 13 7 9 20
13647 13 13 20 10
13648 13 8 24 6
13649 13 7 20 9
13650 13 20 7 9
13651 13 23 6 7
13652 13 19 7 16
13653 9 9 0 0
13654 9 9 9 4
13655 20 15 9 0
13656 9 9 9 6
13657 9 5 14 9
13658 5 9 9 0
13659 5 5 0 0
13660 12 5 0 0
13661 10 18 5 0
13662 19 2 5 0
13663 25 2 5 0
13664 9 7 5 0
13665 25 18 5 0
13666 25 3 5 0
13667 3 18 0 0
13668 18 11 14 0
13669 18 15 0 0
13670 18 11 0 0
13671 18 19 0 0
13672 18 8 14 9
13673 18 17 10 0
13674 18 12 2 21
13675 18 25 8 19
13676 18 3 9 0
13677 18 8 11 0
13678 18 3 11 0
13679 15 2 18 0
13680 18 8 17 21
13681 18 9 11 21
13682 18 4 0 0
13683 18 21 11 0
13684 18 2 8 14
13685 18 13 7 0
13686 18 13 4 13
13687 18 8 1 0
13688 18 25 20 0
13689 18 9 11 5
13690 18 18 22 19
13691 25 6 18 0
13692 18 16 22 11
13693 18 22 9 15
13694 6 18 16 0
13695 8 4 18 0
13696 18 12 17 0
13697 18 11 11 9
13698 18 12 23 16
13699 18 8 13 18
13700 18 9 12 12
13701 18 9 8 13
13702 18 20 23 0
13703 18 13 2 12
13704 10 16 18 0
13705 18 15 25 13
13706 18 19 13 9
13707 15 12 12 16
13708 15 14 18 16
13709 25 10 18 16
13710 18 16 15 12
13711 18 1 7 0
13712 18 18 19 11
