13590 12 11 14 2
13591 24 10 12 14
13592 2 13 12 14
13593 21 1 12 14
13594 20 4 12 14
13595 6 11 12 2
13596 5 2 12 14
13597 7 13 8 12
13598 20 6 21 12
13599 20 7 22 12
13600 10 17 23 12
13601 20 12 17 12
13602 24 17 3 12
13603 12 12 12 12
13604 16 20 15 12
13605 12 3 5 12
13606 21 4 25 12
13607 8 1 12 12
13608 17 21 24 5
13609 17 6 3 12
13610 17 8 12 15
13611 4 24 2 0
13612 24 10 10 0
13613 24 10 7 8
13614 1 11 6 24
13615 1 13 11 4
13616 1 17 8 9
13617 1 22 23 9
13618 1 23 25 22
13619 1 25 22 13
13620 1 12 1 23
13621 1 14 14 23
13622 1 21 10 13
13623 1 7 13 23
13624 1 18 8 13
13625 6 12 14 0
13626 6 1 6 10
13627 7 9 6 10
13628 18 23 25 6
13629 8 12 11 6
13630 2 14 14 28
13631 7 14 8 11
13632 13 2 2 0
13633 17 4 3 2
13634 4 23 25 14
13635 4 7 1 11
13636 4 7 24 9
13637 4 12 11 27
13638 4 4 4 0
13639 4 21 4 0
13640 4 25 5 9
13641 4 23 7 11
13642 4 7 5 25
13643 4 17 4 0
13644 4 10 7 6
13645 4 23 25 4
13646 4 6 3 12
13647 4 7 11 6
13648 4 22 17 15
13649 4 6 11 6
13650 4 21 7 20
13651 4 12 6 6
13652 4 2 7 14
13653 3 3 21 0
13654 3 3 3 19
13655 21 7 17 3
13656 3 3 3 9
13657 3 23 20 25
13658 3 25 25 9
13659 3 3 21 26
13660 11 8 3 21
13661 4 3 21 28
13662 14 13 8 3
13663 8 13 1 3
13664 21 23 25 3
13665 8 16 7 3
13666 8 16 7 3
13667 23 11 6 0
13668 11 22 14 26
13669 11 23 25 26
13670 11 4 21 0
13671 11 14 20 0
13672 11 13 25 25
13673 11 4 8 8
13674 11 16 17 14
13675 11 25 14 0
13676 11 23 3 25
13677 11 20 4 25
13678 11 23 17 25
13679 13 23 11 4
13680 11 20 6 14
13681 11 4 14 14
13682 11 19 25 0
13683 11 17 2 8
13684 11 16 13 14
13685 11 7 7 0
13686 11 7 7 26
13687 11 18 7 0
13688 11 21 7 0
13689 11 4 3 25
13690 11 11 7 14
13691 25 9 11 6
13692 11 17 17 14
13693 11 14 25 23
13694 9 11 24 2
13695 20 11 6 26
13696 11 22 6 8
13697 11 17 4 3
13698 11 10 14 20
13699 11 18 7 11
13700 11 25 20 8
13701 11 4 7 20
13702 11 13 1 7
13703 11 4 13 10
13704 6 20 24 11
13705 11 23 8 7
13706 11 22 6 25
13707 23 10 11 24
13708 23 22 11 24
13709 21 6 11 24
13710 11 24 23 10
13711 11 10 6 7
13712 11 11 22 20
13713 11 1 1 8
13714 11 21 24 20
13715 11 20 4 8
13716 11 7 4 11
13717 11 21 8 0
13718 21 11 6 26
13719 11 13 23 14
13720 11 4 6 5
13721 12 11 11 24
13722 23 6 11 24
13723 4 11 24 2
13724 25 11 24 2
13725 6 9 11 24
13726 11 11 13 23
13727 11 5 16 3
13728 11 4 6 9
13729 11 25 23 25
13730 11 25 8 24
13731 11 21 11 7
13732 11 2 9 2
13733 11 12 20 25
13734 11 7 10 9
13735 11 17 1 10
13736 11 22 9 25
13737 11 2 3 25
13738 11 1 11 7
13739 11 6 23 20
13740 11 22 3 25
13741 11 7 4 14
13742 11 23 7 1
13743 13 7 11 24
13744 11 24 13 11
13745 25 23 20 11
13746 22 11 11 24
13747 9 22 11 24
13748 11 1 17 18
13749 11 8 23 25
13750 11 19 6 7
13751 11 10 7 8
13752 11 8 1 7
13753 11 23 22 12
13754 11 4 23 10
13755 11 3 2 19
13756 11 1 6 19
13757 11 4 13 25
13758 11 11 21 20
13759 11 2 2 8
13760 11 24 24 13
13761 11 11 11 14
13762 11 9 20 8
13763 11 14 1 10
13764 11 12 25 14
13765 11 4 5 7
13766 11 1 6 8
13767 11 14 8 3
13768 11 3 5 12
13769 4 8 22 11
13770 11 11 11 11
13771 11 17 4 4
13772 11 16 7 6
13773 11 20 10 7
13774 11 12 11 19
13775 11 7 9 8
13776 11 4 25 12
13777 11 18 4 6
13778 11 25 5 25
13779 11 23 14 16
13780 11 8 1 25
13781 11 6 10 6
13782 11 5 22 7
13783 11 12 18 6
13784 11 7 5 6
13785 11 17 2 20
13786 11 19 19 25
13787 11 20 20 4
13788 11 25 24 12
13789 11 21 7 15
13790 11 4 8 3
13791 9 25 7 24
13792 22 3 11 24
13793 1 23 5 24
13794 11 20 7 12
13795 11 1 17 8
13796 4 8 9 11
13797 11 25 2 2
13798 11 2 17 2
13799 11 16 23 6
13800 1 20 4 11
13801 11 14 18 7
13802 11 8 24 9
13803 11 23 6 9
13804 9 16 11 17
13805 11 20 15 14
13806 17 11 25 23
13807 6 20 10 24
13808 11 20 23 8
13809 11 23 25 19
13810 11 22 6 7
13811 11 20 23 11
13812 11 21 5 7
13813 11 15 15 23
13814 11 23 24 3
13815 11 16 6 13
13816 11 20 18 8
13817 11 23 25 14
13818 11 7 4 4
13819 11 13 14 16
13820 11 15 7 23
13821 24 20 25 11
13822 11 1 6 24
13823 11 21 19 11
13824 11 22 15 25
13825 11 12 6 6
13826 11 21 24 14
13827 11 1 4 14
13828 11 19 12 25
13829 11 20 17 8
13830 11 6 11 6
13831 11 15 15 19
13832 11 24 20 8
13833 11 20 22 2
13834 11 6 25 7
13835 11 1 8 13
13836 11 8 1 10
13837 11 9 23 1
13838 11 21 14 20
13839 21 20 8 24
13840 11 3 21 17
13841 11 6 6 9
13842 20 20 7 24
13843 11 21 7 9
13844 11 16 6 13
13845 11 1 1 12
13846 11 21 20 13
13847 11 8 8 25
13848 24 25 24 11
13849 11 11 11 20
13850 11 21 14 20
13851 11 23 7 4
13852 23 25 25 11
13853 12 3 9 26
13854 12 12 22 0
13855 12 1 11 0
13856 12 14 20 5
13857 12 12 11 0
13858 12 9 17 22
13859 12 11 5 4
13860 12 9 10 7
13861 12 5 18 9
13862 6 12 14 26
13863 6 3 2 8
13864 6 13 23 25
13865 6 24 24 14
13866 6 20 6 14
13867 6 6 10 8
13868 6 17 3 25
13869 6 24 14 14
13870 6 14 25 25
13871 6 20 12 14
13872 6 21 6 8
13873 6 13 6 7
13874 6 14 22 14
13875 21 24 6 6
13876 11 23 6 4
13877 6 4 13 8
13878 17 1 8 6
13879 6 1 17 25
13880 7 17 24 6
13881 8 24 6 6
13882 6 23 1 20
13883 6 12 4 25
13884 6 6 20 14
13885 6 1 6 4
13886 6 16 7 6
13887 6 10 6 7
13888 6 16 23 22
13889 6 20 24 21
13890 6 21 11 17
13891 6 18 7 23
13892 6 24 24 6
13893 6 11 19 25
13894 6 16 4 3
13895 6 5 25 25
13896 6 8 1 13
13897 6 13 1 23
13898 6 4 5 25
13899 6 1 4 23
13900 6 22 9 10
13901 6 3 3 3
13902 6 4 7 20
13903 6 20 10 20
13904 6 13 4 10
13905 20 11 13 6
13906 12 3 2 6
13907 6 6 6 6
13908 6 14 8 8
13909 6 12 5 7
13910 6 20 11 25
13911 6 12 7 5
13912 6 19 22 7
13913 9 4 14 6
13914 6 21 7 8
13915 6 7 5 6
13916 25 13 11 6
13917 6 12 12 5
13918 6 20 8 19
13919 6 25 22 5
13920 1 20 4 6
13921 6 20 23 8
13922 6 1 13 25
13923 6 24 4 5
13924 6 8 1 8
13925 6 21 11 5
13926 23 20 21 6
13927 6 7 10 12
13928 6 24 24 20
13929 6 4 21 9
13930 6 6 16 21
13931 6 23 25 19
13932 19 23 23 6
13933 6 4 21 23
13934 6 20 23 11
13935 6 23 6 3
